2025-02-21 21:48:49,720 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Current SDK version is 0.18.5
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Configure stats pid to 14080
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Loading settings from C:\Users\ahmad\.config\wandb\settings
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Loading settings from C:\Users\ahmad\Desktop\lux\wandb\settings
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Loading settings from environment variables: {}
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Inferring run settings from compute environment: {'program_relpath': 'GOM_autoencoder.py', 'program_abspath': 'C:\\Users\\ahmad\\Desktop\\lux\\GOM_autoencoder.py', 'program': 'C:\\Users\\ahmad\\Desktop\\lux\\GOM_autoencoder.py'}
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Applying login settings: {'api_key': '***REDACTED***'}
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_setup.py:_flush():79] Applying login settings: {}
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_init.py:_log_setup():534] Logging user logs to C:\Users\ahmad\Desktop\lux\wandb\run-20250221_214849-8wml7o89\logs\debug.log
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_init.py:_log_setup():535] Logging internal logs to C:\Users\ahmad\Desktop\lux\wandb\run-20250221_214849-8wml7o89\logs\debug-internal.log
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_init.py:init():621] calling init triggers
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_init.py:init():628] wandb.init called with sweep_config: {}
config: {'example_1_original_dim': 49, 'latent_dim': 20, 'architecture': 'AE', 'num_training_updates': 1000, 'initial_learning_rate': 0.0002}
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_init.py:init():671] starting backend
2025-02-21 21:48:49,736 INFO    MainThread:14080 [wandb_init.py:init():675] sending inform_init request
2025-02-21 21:48:49,736 INFO    MainThread:14080 [backend.py:_multiprocessing_setup():104] multiprocessing start_methods=spawn, using: spawn
2025-02-21 21:48:49,740 INFO    MainThread:14080 [wandb_init.py:init():688] backend started and connected
2025-02-21 21:48:49,742 INFO    MainThread:14080 [wandb_init.py:init():783] updated telemetry
2025-02-21 21:48:49,767 INFO    MainThread:14080 [wandb_init.py:init():816] communicating run to backend with 90.0 second timeout
2025-02-21 21:48:50,098 INFO    MainThread:14080 [wandb_init.py:init():867] starting run threads in backend
2025-02-21 21:48:50,176 INFO    MainThread:14080 [wandb_run.py:_console_start():2463] atexit reg
2025-02-21 21:48:50,177 INFO    MainThread:14080 [wandb_run.py:_redirect():2311] redirect: wrap_raw
2025-02-21 21:48:50,177 INFO    MainThread:14080 [wandb_run.py:_redirect():2376] Wrapping output streams.
2025-02-21 21:48:50,177 INFO    MainThread:14080 [wandb_run.py:_redirect():2401] Redirects installed.
2025-02-21 21:48:50,178 INFO    MainThread:14080 [wandb_init.py:init():911] run started, returning control to user process
2025-02-21 21:49:40,673 INFO    MainThread:14080 [wandb_run.py:_finish():2158] finishing run eazo-ahmad-abdelhakam-the-university-of-manchester/GOM_AE/8wml7o89
2025-02-21 21:49:40,674 INFO    MainThread:14080 [wandb_run.py:_atexit_cleanup():2426] got exitcode: 0
2025-02-21 21:49:40,674 INFO    MainThread:14080 [wandb_run.py:_restore():2408] restore
2025-02-21 21:49:40,674 INFO    MainThread:14080 [wandb_run.py:_restore():2414] restore done
2025-02-21 21:49:44,175 INFO    MainThread:14080 [wandb_run.py:_footer_history_summary_info():3975] rendering history
2025-02-21 21:49:44,175 INFO    MainThread:14080 [wandb_run.py:_footer_history_summary_info():4007] rendering summary
2025-02-21 21:49:44,180 INFO    MainThread:14080 [wandb_run.py:_footer_sync_info():3934] logging synced files
